created_at,entry_id,co2_ppm,ch4_ppm
2025-08-19 00:04:08-05:00,212,6000.0,5993.90625
2025-08-19 00:04:31-05:00,213,6000.0,5995.3125
2025-08-19 00:04:56-05:00,214,6000.0,5993.90625
2025-08-19 00:05:19-05:00,215,6000.0,5994.60986
2025-08-19 00:05:44-05:00,216,6000.0,5995.3125
2025-08-19 00:06:08-05:00,217,6000.0,5995.3125
2025-08-19 00:06:32-05:00,218,6000.0,5995.3125
2025-08-19 00:06:56-05:00,219,6000.0,5994.60986
2025-08-19 00:07:23-05:00,220,6000.0,5995.3125
2025-08-19 00:07:44-05:00,221,6000.0,5995.3125
2025-08-19 00:08:10-05:00,222,6000.0,5993.90625
2025-08-19 00:08:34-05:00,223,6000.0,5994.60986
2025-08-19 00:08:57-05:00,224,6000.0,5995.3125
2025-08-19 00:09:20-05:00,225,6000.0,5994.60986
2025-08-19 00:09:44-05:00,226,6000.0,5995.3125
2025-08-19 00:10:08-05:00,227,6000.0,5995.3125
2025-08-19 00:10:32-05:00,228,6000.0,5993.90625
2025-08-19 00:10:56-05:00,229,6000.0,5996.01562
2025-08-19 00:11:21-05:00,230,6000.0,5994.60986
2025-08-19 00:11:48-05:00,231,6000.0,5996.01562
2025-08-19 00:12:08-05:00,232,6000.0,5994.60986
2025-08-19 00:12:33-05:00,233,6000.0,5994.60986
2025-08-19 00:12:57-05:00,234,6000.0,5995.3125
2025-08-19 00:13:21-05:00,235,6000.0,5995.3125
2025-08-19 00:13:45-05:00,236,6000.0,5994.60986
2025-08-19 00:14:09-05:00,237,6000.0,5995.3125
2025-08-19 00:14:33-05:00,238,6000.0,5994.60986
2025-08-19 00:14:57-05:00,239,6000.0,5993.90625
2025-08-19 00:15:22-05:00,240,6000.0,5995.3125
2025-08-19 00:15:46-05:00,241,6000.0,5994.60986
2025-08-19 00:16:33-05:00,242,6000.0,5995.3125
2025-08-19 00:16:57-05:00,243,6000.0,5994.60986
2025-08-19 00:17:21-05:00,244,6000.0,5995.3125
2025-08-19 00:17:45-05:00,245,6000.0,5995.3125
2025-08-19 00:18:09-05:00,246,6000.0,5994.60986
2025-08-19 00:18:37-05:00,247,6000.0,5996.01562
2025-08-19 00:18:57-05:00,248,6000.0,5994.60986
2025-08-19 00:19:46-05:00,249,6000.0,5994.60986
2025-08-19 00:20:10-05:00,250,6000.0,5994.60986
2025-08-19 00:20:36-05:00,251,6000.0,5994.60986
2025-08-19 00:20:58-05:00,252,6000.0,5995.3125
2025-08-19 00:21:23-05:00,253,6000.0,5994.60986
2025-08-19 00:21:46-05:00,254,6000.0,5995.3125
2025-08-19 00:22:10-05:00,255,6000.0,5993.90625
2025-08-19 00:22:34-05:00,256,6000.0,5993.90625
2025-08-19 00:22:58-05:00,257,6000.0,5995.3125
2025-08-19 00:23:22-05:00,258,6000.0,5994.60986
2025-08-19 00:23:46-05:00,259,6000.0,5995.3125
2025-08-19 00:24:10-05:00,260,6000.0,5994.60986
2025-08-19 00:24:34-05:00,261,6000.0,5994.60986
2025-08-19 00:24:58-05:00,262,6000.0,5995.3125
2025-08-19 00:25:22-05:00,263,6000.0,5993.90625
2025-08-19 00:25:46-05:00,264,6000.0,5995.3125
2025-08-19 00:26:16-05:00,265,6000.0,5995.3125
2025-08-19 00:26:35-05:00,266,6000.0,5994.60986
2025-08-19 00:27:23-05:00,267,6000.0,5995.3125
2025-08-19 00:27:47-05:00,268,6000.0,5994.60986
2025-08-19 00:28:11-05:00,269,6000.0,5996.01562
2025-08-19 00:28:35-05:00,270,6000.0,5994.60986
2025-08-19 00:29:01-05:00,271,6000.0,5994.60986
2025-08-19 00:29:23-05:00,272,6000.0,5995.3125
2025-08-19 00:29:48-05:00,273,6000.0,5994.60986
2025-08-19 00:30:11-05:00,274,6000.0,5995.3125
2025-08-19 00:30:35-05:00,275,6000.0,5994.60986
2025-08-19 00:31:02-05:00,276,6000.0,5994.60986
2025-08-19 00:31:23-05:00,277,6000.0,5995.3125
2025-08-19 00:31:47-05:00,278,6000.0,5994.60986
2025-08-19 00:32:11-05:00,279,6000.0,5995.3125
2025-08-19 00:32:37-05:00,280,6000.0,5995.3125
2025-08-19 00:33:01-05:00,281,6000.0,5995.3125
2025-08-19 00:33:24-05:00,282,6000.0,5995.3125
2025-08-19 00:33:48-05:00,283,6000.0,5995.3125
2025-08-19 00:34:13-05:00,284,6000.0,5994.60986
2025-08-19 00:34:36-05:00,285,6000.0,5994.60986
2025-08-19 00:35:01-05:00,286,6000.0,5994.60986
2025-08-19 00:35:24-05:00,287,6000.0,5994.60986
2025-08-19 00:35:48-05:00,288,6000.0,5995.3125
2025-08-19 00:36:12-05:00,289,6000.0,5994.60986
2025-08-19 00:36:36-05:00,290,6000.0,5995.3125
2025-08-19 00:37:00-05:00,291,6000.0,5994.60986
2025-08-19 00:37:24-05:00,292,6000.0,5993.90625
2025-08-19 00:37:48-05:00,293,6000.0,5995.3125
2025-08-19 00:38:15-05:00,294,6000.0,5994.60986
2025-08-19 00:38:36-05:00,295,6000.0,5994.60986
2025-08-19 00:39:00-05:00,296,6000.0,5995.3125
2025-08-19 00:39:24-05:00,297,6000.0,5994.60986
2025-08-19 00:39:48-05:00,298,6000.0,5995.3125
2025-08-19 00:40:13-05:00,299,6000.0,5996.01562
2025-08-19 00:40:37-05:00,300,6000.0,5994.60986
2025-08-19 00:41:01-05:00,301,6000.0,5995.3125
2025-08-19 00:41:25-05:00,302,6000.0,5994.60986
2025-08-19 00:41:50-05:00,303,6000.0,5996.01562
2025-08-19 00:42:14-05:00,304,6000.0,5995.3125
2025-08-19 00:42:37-05:00,305,6000.0,5994.60986
2025-08-19 00:43:04-05:00,306,6000.0,5996.01562
2025-08-19 00:43:25-05:00,307,6000.0,5994.60986
2025-08-19 00:43:49-05:00,308,6000.0,5994.60986
2025-08-19 00:44:13-05:00,309,6000.0,5995.3125
2025-08-19 00:44:37-05:00,310,6000.0,5994.60986
2025-08-19 00:45:02-05:00,311,6000.0,5996.01562
2025-08-19 00:45:25-05:00,312,6000.0,5995.3125
2025-08-19 00:45:49-05:00,313,6000.0,5994.60986
2025-08-19 00:46:13-05:00,314,6000.0,5995.3125
2025-08-19 00:46:37-05:00,315,6000.0,5993.90625
2025-08-19 00:47:01-05:00,316,6000.0,5994.60986
2025-08-19 00:47:25-05:00,317,6000.0,5995.3125
2025-08-19 00:47:49-05:00,318,6000.0,5993.90625
2025-08-19 00:48:13-05:00,319,6000.0,5995.3125
2025-08-19 00:48:38-05:00,320,6000.0,5995.3125
2025-08-19 00:49:02-05:00,321,6000.0,5993.90625
2025-08-19 00:49:26-05:00,322,6000.0,5994.60986
2025-08-19 00:49:50-05:00,323,6000.0,5993.90625
2025-08-19 00:50:14-05:00,324,6000.0,5994.60986
